id,name,phone,email,reason,urgency,appointment_type,duration,provider,status,timestamp,wait_time,availability,availability_mode
6ac0e529-d4ad-4824-ac9e-e4c56fa2043e,Mafalda Hopkirk,07123 456789,mHopkirk@ministryrofmagic.wiz,,medium,np_spec,None,no preference,waiting,2025-04-14T15:09:59.054626,0 days,"{""Monday"": [""PM""], ""Tuesday"": [""PM""], ""Wednesday"": [""PM""], ""Thursday"": [""PM""], ""Friday"": [""PM""], ""Saturday"": [""AM"", ""PM""], ""Sunday"": [""AM"", ""PM""]}",available
2797668f-e1d5-44c3-a47c-c5cc5cc47cac,Wilhelmina Grubbly-Plank,07298 112233,w.g-p@hogwarts.wiz,,medium,spec_exam,None,Caitlin,waiting,2025-04-14T15:11:39.266367,0 days,"{""Monday"": [""AM""], ""Wednesday"": [""AM""], ""Friday"": [""AM""], ""Saturday"": [""AM"", ""PM""], ""Sunday"": [""AM"", ""PM""]}",available
d54f757a-8aac-48ab-a82b-637af7cea870,Sturgis Podmore,07456 987654,sturgis.p@orderotp.wiz,,low,recall,None,no preference,waiting,2025-04-14T15:13:56.874600,0 days,"{""Saturday"": [""AM"", ""PM""]}",unavailable
b8d7547b-4f30-4ded-9e9c-67e7854b8920,Marietta Edgecombe,07700 900123,mari-edgecombe@hogwarts.wiz,,high,emergency_exam,30,Dr. Shave,waiting,2025-04-14T15:15:27.262718,0 days,"{""Sunday"": [""AM""]}",unavailable
a895845f-8a61-49da-a310-c248930652f1,Elphias Doge,07891 334455,elphias@dailyprophet.wiz,,low,x-ray,None,Maylee,waiting,2025-04-14T15:16:51.868874,0 days,"{""Monday"": [""AM""], ""Tuesday"": [""AM""], ""Wednesday"": [""AM""], ""Thursday"": [""AM""], ""Friday"": [""AM""], ""Saturday"": [""AM""], ""Sunday"": [""AM""]}",available
c3ab2fe5-6495-49a9-af5e-53ebf9376dc9,Rufus Scrimgeour,07911 223344,rscrimgeour@ministryofmagic.wiz,,high,rct,90,Shannon,waiting,2025-04-14T15:21:51.724697,0 days,"{""Monday"": [""PM""], ""Wednesday"": [""PM""], ""Thursday"": [""PM""], ""Friday"": [""PM""], ""Saturday"": [""AM"", ""PM""], ""Sunday"": [""PM""]}",available
311812c4-e2f9-4b42-aaa5-8e757c87d621,Amelia Bones,07012 345678,a.bones@mle.wiz,,medium,hygiene,70,no preference,waiting,2025-04-14T15:23:11.790360,0 days,"{""Monday"": [""AM""], ""Tuesday"": [""AM""], ""Wednesday"": [""AM""], ""Thursday"": [""AM""], ""Friday"": [""AM""]}",unavailable
8040299d-ff91-4ef1-8c78-24ecf12576b7,Aberforth Dumbledore,07345 667788,adumbledore2@hogwarts.wiz,,medium,resto,60,Shannon,waiting,2025-04-14T15:24:14.594884,0 days,"{""Friday"": [""PM""], ""Saturday"": [""PM""], ""Sunday"": [""PM""]}",unavailable
ed1959fe-2cd2-4c49-9942-7e6e771aa685,Reg Cattermole,07111 222333,rcattermole@ministryofmagic.wiz,,medium,spec_exam,30,Dr. Shave,waiting,2025-04-14T15:25:14.076625,0 days,"{""Monday"": [""AM""], ""Tuesday"": [""AM""], ""Wednesday"": [""AM""], ""Thursday"": [""AM""], ""Friday"": [""AM""]}",unavailable
27ce0c0e-a43f-4873-a8a0-1d12d844adc4,Dirk Cresswell,07500 123456,d.cresswell@gringotts.wiz,Crown fitting,medium,custom,30,no preference,waiting,2025-04-14T15:26:38.399184,0 days,"{""Saturday"": [""AM"", ""PM""], ""Sunday"": [""AM"", ""PM""]}",unavailable
60956c0f-9ff9-4e30-bd0d-4c963c8f36ec,Mundungus Fletcher,07654 321987,dung@orderotp,,medium,hygiene,70,Adrienne,waiting,2025-04-14T15:27:57.845811,0 days,"{""Monday"": [""AM""], ""Tuesday"": [""AM""], ""Wednesday"": [""AM""], ""Thursday"": [""AM""], ""Friday"": [""AM""]}",available
d8c706a0-6638-42b6-a0f7-12949ed949c2,Arabella Figg,07800 555444,a.figg@gmail.com,,low,resto,60,Caitlin,waiting,2025-04-14T15:29:12.252172,0 days,"{""Sunday"": [""AM""]}",unavailable
f4c27aec-15bb-447f-9ddc-a3b8a019f4b5,Zacharias Smith,07789 000999,z.smith3@hogwarts.wiz,,medium,np_spec,30,Dr. Shave,waiting,2025-04-14T15:30:07.774893,0 days,"{""Saturday"": [""AM"", ""PM""], ""Sunday"": [""AM"", ""PM""]}",available
6c33b96d-9241-420c-917e-dbbcca778dbc,Ritchie Coote,07222 888111,r.cotte@hogwarts.wiz,,low,recall,70,Maylee,waiting,2025-04-14T15:30:56.428634,0 days,"{""Saturday"": [""AM"", ""PM""], ""Sunday"": [""AM"", ""PM""]}",available
2aa6c1a5-0ecd-483e-a81a-59e988bd10da,Blaise Zabini,07444 112211,blaise.z@hogwarts.wiz,Root Canal,high,emergency_exam,60,Dr. Shave,waiting,2025-04-14T15:32:03.852287,0 days,"{""Saturday"": [""AM"", ""PM""], ""Sunday"": [""AM"", ""PM""]}",available
